date,symbol,ret_1d,gross_ret,net_ret,weight,weight_lag1,turnover,cost_ret
2010-05-12,pzu,,,,0.0,0.0,0.0,0.0
2010-05-13,pzu,-0.008317266192854,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-05-14,pzu,-0.005621176623714752,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-05-17,pzu,-0.011240459108125989,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-05-18,pzu,0.005593109553792441,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,pzu,-0.02009231604670103,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-05-20,pzu,-0.04303215026407059,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2010-05-21,pzu,0.016574246306110263,-0.016574246306110263,-0.016574246306110263,-1.0,-1.0,0.0,0.0
2010-05-24,pzu,0.01784034316983285,-0.01784034316983285,-0.019340343169832852,0.0,-1.0,1.0,0.0015
2010-05-25,pzu,-0.036539244284648165,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2010-05-26,pzu,0.07287513532067691,-0.07287513532067691,-0.07437513532067691,0.0,-1.0,1.0,0.0015
2010-05-27,pzu,-0.010746601694845759,-0.0,-0.0015,1.0,0.0,1.0,0.0015
2010-05-28,pzu,-0.0006053620147773442,-0.0006053620147773442,-0.0021053620147773442,0.0,1.0,1.0,0.0015
2010-05-31,pzu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,pzu,-0.004032659563875329,-0.0,-0.0015,1.0,0.0,1.0,0.0015
2010-06-02,pzu,0.002582687661418115,0.002582687661418115,0.0010826876614181149,0.0,1.0,1.0,0.0015
2010-06-04,pzu,-0.021455875020774506,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-07,pzu,-0.005859474515531926,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-08,pzu,-0.0028957528957528345,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-09,pzu,0.02349887345903756,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-10,pzu,0.008738449176376006,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-11,pzu,-0.0028626904311461754,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-14,pzu,0.007705686064025441,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-15,pzu,0.002188328364864489,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-16,pzu,-0.000173036040935437,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-17,pzu,0.0033789073767316324,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,pzu,0.011063564159637274,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-21,pzu,0.0204227526036167,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-22,pzu,-0.013159570741648863,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-23,pzu,-0.0028557829604949347,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-24,pzu,-0.011067513450103261,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-25,pzu,0.00024542487135637003,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-28,pzu,-0.008726802816786172,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-29,pzu,-0.0056435643564355376,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-06-30,pzu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,pzu,0.017151249626605525,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,pzu,-0.005579892807322406,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-07-05,pzu,-0.0054307254366320334,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-07-06,pzu,0.018434966223182858,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-07,pzu,-0.0017169884670208413,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-07-08,pzu,0.002620477040402358,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-09,pzu,0.005826044035182942,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-12,pzu,0.030409563727343603,0.0,-0.0015,1.0,0.0,1.0,0.0015
2010-07-13,pzu,0.016075513534192787,0.016075513534192787,0.016075513534192787,1.0,1.0,0.0,0.0
2010-07-14,pzu,-0.02107697745539494,-0.02107697745539494,-0.022576977455394942,0.0,1.0,1.0,0.0015
2010-07-15,pzu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
