y_hat,y,raw_signal,signal,prev_signal,is_trade,trade_log_return,tx_fee_log,trade_log_return_net,equity_curve_net
0.016976548,0.031166812,1.0,1.0,0.0,1,0.031166812,-0.006018072325563021,0.025148740079427176,0.025148740079427176
-0.010279754,-0.0018073671,-1.0,-1.0,1.0,1,0.0018073671,-0.006018072325563021,-0.004210705245671757,0.02093803483375542
-0.003804042,0.003609206,-1.0,-1.0,-1.0,0,-0.003609206,-0.0,-0.003609206061810255,0.017328828771945165
-0.0002695077,0.024912791,-1.0,-1.0,-1.0,0,-0.024912791,-0.0,-0.024912791326642036,-0.007583962554696871
0.000042107247,0.005258341,1.0,1.0,-1.0,1,0.005258341,-0.006018072325563021,-0.0007597314713652806,-0.008343694026062151
-0.0043882406,-0.05387304,-1.0,-1.0,1.0,1,0.05387304,-0.006018072325563021,0.04785496745648425,0.0395112734304221
0.0060805776,0.0018440154,1.0,1.0,-1.0,1,0.0018440154,-0.006018072325563021,-0.004174056887453385,0.035337216542968716
-0.026419608,0.010990958,-1.0,-1.0,1.0,1,-0.010990958,-0.006018072325563021,-0.017009030055081434,0.018328186487887282
-0.010730857,-0.0073154056,-1.0,-1.0,-1.0,0,0.0073154056,-0.0,0.007315405644476414,0.025643592132363696
-0.00015629356,0.012762494,-1.0,-1.0,-1.0,0,-0.012762494,-0.0,-0.012762494385242462,0.012881097747121234
-0.00019907155,-0.0054470883,-1.0,-1.0,-1.0,0,0.0054470883,-0.0,0.005447088275104761,0.018328186022225995
-0.021889895,-0.022101717,-1.0,-1.0,-1.0,0,0.022101717,-0.0,0.022101717069745064,0.04042990309197106
0.007295562,-0.032169517,1.0,1.0,-1.0,1,-0.032169517,-0.006018072325563021,-0.03818758945522267,0.002242313636748386
-0.0076860953,0.024692377,-1.0,-1.0,1.0,1,-0.024692377,-0.006018072325563021,-0.03071044940111596,-0.028468135764367575
0.0033057965,0.036836587,1.0,1.0,-1.0,1,0.036836587,-0.006018072325563021,0.030818514567041808,0.002350378802674233
0.005852312,0.10300696,1.0,1.0,1.0,0,0.10300696,-0.0,0.10300695896148682,0.10535733776416105
-0.011111296,0.04622475,-1.0,-1.0,1.0,1,-0.04622475,-0.006018072325563021,-0.05224282290396649,0.053114514860194556
-0.001999406,0.03369305,-1.0,-1.0,-1.0,0,-0.03369305,-0.0,-0.03369304910302162,0.019421465757172934
0.019734481,0.06275009,1.0,1.0,-1.0,1,0.06275009,-0.006018072325563021,0.05673202131333392,0.07615348707050686
0.023997629,-0.05974333,1.0,1.0,1.0,0,-0.05974333,-0.0,-0.059743329882621765,0.01641015718788509
0.007874763,-0.030490179,1.0,1.0,1.0,0,-0.030490179,-0.0,-0.030490178614854813,-0.014080021426969722
-0.060894,0.030490179,-1.0,-1.0,1.0,1,-0.030490179,-0.006018072325563021,-0.03650825094041783,-0.050588272367387555
0.006667208,-0.055569474,1.0,1.0,-1.0,1,-0.055569474,-0.006018072325563021,-0.061587545979594774,-0.11217581834698233
0.029630061,-0.055479575,1.0,1.0,1.0,0,-0.055479575,-0.0,-0.05547957494854927,-0.16765539329553159
-0.12128763,0.0033513508,-1.0,-1.0,1.0,1,-0.0033513508,-0.006018072325563021,-0.009369423106139488,-0.17702481640167106
-0.0051042535,0.014937403,-1.0,-1.0,-1.0,0,-0.014937403,-0.0,-0.014937402680516243,-0.1919622190821873
0.07443529,-0.016611675,1.0,1.0,-1.0,1,-0.016611675,-0.006018072325563021,-0.022629747126078195,-0.21459196620826548
-0.09237042,0.0,-1.0,-1.0,1.0,1,-0.0,-0.006018072325563021,-0.006018072325563021,-0.22061003853382852
-0.0026277013,-0.010100668,-1.0,-1.0,-1.0,0,0.010100668,-0.0,0.010100668296217918,-0.2105093702376106
-0.03212455,0.0016912541,-1.0,-1.0,-1.0,0,-0.0016912541,-0.0,-0.0016912540886551142,-0.2122006243262657
-0.007459405,-0.011894988,-1.0,-1.0,-1.0,0,0.011894988,-0.0,0.011894987896084785,-0.20030563643018093
-0.021064572,0.05001037,-1.0,-1.0,-1.0,0,-0.05001037,-0.0,-0.05001036822795868,-0.25031600465813963
-0.0006687331,0.024096528,-1.0,-1.0,-1.0,0,-0.024096528,-0.0,-0.024096528068184853,-0.2744125327263245
0.030424582,0.0141860135,1.0,1.0,-1.0,1,0.0141860135,-0.006018072325563021,0.008167941164398604,-0.26624459156192587
-0.0007941713,-0.0031379552,-1.0,-1.0,1.0,1,0.0031379552,-0.006018072325563021,-0.002880117116322704,-0.26912470867824856
0.026944166,0.030914417,1.0,1.0,-1.0,1,0.030914417,-0.006018072325563021,0.024896344211125784,-0.24422836446712276
0.0017565368,-0.0015199712,1.0,1.0,1.0,0,-0.0015199712,-0.0,-0.0015199711779132485,-0.245748335645036
-0.00998746,0.09030794,-1.0,-1.0,1.0,1,-0.09030794,-0.006018072325563021,-0.09632601584849317,-0.34207435149352916
-0.13602199,0.0,-1.0,-1.0,-1.0,0,-0.0,-0.0,-0.0,-0.34207435149352916
-0.04454498,0.026117792,-1.0,-1.0,-1.0,0,-0.026117792,-0.0,-0.02611779235303402,-0.3681921438465632
-0.031066589,-0.009543529,-1.0,-1.0,-1.0,0,0.009543529,-0.0,0.009543528780341148,-0.35864861506622203
-0.021167034,0.02168073,-1.0,-1.0,-1.0,0,-0.02168073,-0.0,-0.02168072946369648,-0.3803293445299185
-0.000117553136,0.015958786,-1.0,-1.0,-1.0,0,-0.015958786,-0.0,-0.015958786010742188,-0.3962881305406607
0.007052038,0.0013172304,1.0,1.0,-1.0,1,0.0013172304,-0.006018072325563021,-0.004700841923071034,-0.4009889724637317
-0.045308627,0.009180561,-1.0,-1.0,1.0,1,-0.009180561,-0.006018072325563021,-0.01519863303360898,-0.4161876054973407
