y_hat,y,raw_signal,signal,prev_signal,is_trade,trade_log_return,tx_fee_log,trade_log_return_net,equity_curve_net
-0.0063953362,0.011218884,-1.0,-1.0,0.0,1,-0.011218884,-0.006018072325563021,-0.01723695635405738,-0.01723695635405738
-0.005416537,0.012096922,-1.0,-1.0,-1.0,0,-0.012096922,-0.0,-0.012096921913325787,-0.029333878267383165
-0.008804934,0.0069895443,-1.0,-1.0,-1.0,0,-0.0069895443,-0.0,-0.006989544257521629,-0.036323422524904794
-0.003951896,0.0049627894,-1.0,-1.0,-1.0,0,-0.0049627894,-0.0,-0.004962789360433817,-0.04128621188533861
-0.0015578548,-0.0019821613,-1.0,-1.0,-1.0,0,0.0019821613,-0.0,0.001982161309570074,-0.03930405057576854
-0.0033246428,-0.014489386,-1.0,-1.0,-1.0,0,0.014489386,-0.0,0.014489386230707169,-0.02481466434506137
-0.00588308,0.0,-1.0,-1.0,-1.0,0,-0.0,-0.0,-0.0,-0.02481466434506137
-0.008138941,0.020424122,-1.0,-1.0,-1.0,0,-0.020424122,-0.0,-0.020424121990799904,-0.04523878633586127
-0.006426778,-0.070473254,-1.0,-1.0,-1.0,0,0.070473254,-0.0,0.07047325372695923,0.025234467391097956
0.022616887,-0.01170849,1.0,1.0,-1.0,1,-0.01170849,-0.006018072325563021,-0.01772656194475848,0.0075079054463394745
0.09942993,-0.0064447057,1.0,1.0,1.0,0,-0.0064447057,-0.0,-0.0064447056502103806,0.001063199796129094
0.0214489,-0.00053893833,1.0,1.0,1.0,0,-0.00053893833,-0.0,-0.0005389383295550942,0.0005242614665739997
0.006954673,-0.0026990569,1.0,1.0,1.0,0,-0.0026990569,-0.0,-0.002699056873098016,-0.002174795406524016
-0.0025379537,0.01342302,-1.0,-1.0,1.0,1,-0.01342302,-0.006018072325563021,-0.019441092345690317,-0.021615887752214333
-0.0009815181,-0.008032172,-1.0,-1.0,-1.0,0,0.008032172,-0.0,0.008032171986997128,-0.013583715765217205
0.0018850924,-0.0064725145,1.0,1.0,-1.0,1,-0.0064725145,-0.006018072325563021,-0.012490586802190132,-0.026074302567407337
-0.0031843097,0.010228891,-1.0,-1.0,1.0,1,-0.010228891,-0.006018072325563021,-0.01624696325120885,-0.042321265818616186
-0.0037314608,-0.005370582,-1.0,-1.0,-1.0,0,0.005370582,-0.0,0.005370581988245249,-0.03695068383037094
0.011028254,-0.0075676036,1.0,1.0,-1.0,1,-0.0075676036,-0.006018072325563021,-0.01358567593229372,-0.05053635976266466
-0.002484964,0.0027092944,-1.0,-1.0,1.0,1,-0.0027092944,-0.006018072325563021,-0.008727366762062497,-0.05926372652472715
-0.004958822,0.0010816659,-1.0,-1.0,-1.0,0,-0.0010816659,-0.0,-0.0010816658614203334,-0.06034539238614749
0.00032938388,-0.002164503,1.0,1.0,-1.0,1,-0.002164503,-0.006018072325563021,-0.00818257541937191,-0.0685279678055194
-0.0038164374,0.0016238163,-1.0,-1.0,1.0,1,-0.0016238163,-0.006018072325563021,-0.007641888648098298,-0.0761698564536177
-0.005633106,0.0027005146,-1.0,-1.0,-1.0,0,-0.0027005146,-0.0,-0.0027005146257579327,-0.07887037107937563
-0.0028307245,-0.0032414938,-1.0,-1.0,-1.0,0,0.0032414938,-0.0,0.003241493832319975,-0.07562887724705565
-0.002889757,-0.0016246957,-1.0,-1.0,-1.0,0,0.0016246957,-0.0,0.001624695723876357,-0.0740041815231793
-0.0050732507,0.0,-1.0,-1.0,-1.0,0,-0.0,-0.0,-0.0,-0.0740041815231793
-0.0042658933,0.0005418586,-1.0,-1.0,-1.0,0,-0.0005418586,-0.0,-0.0005418586079031229,-0.07454604013108242
-0.0038523888,0.0010828371,-1.0,-1.0,-1.0,0,-0.0010828371,-0.0,-0.0010828371159732342,-0.07562887724705565
