y_hat,y,raw_signal,signal,prev_signal,is_trade,trade_log_return,tx_fee_log,trade_log_return_net,equity_curve_net
0.02699733,0.043675628,1.0,1.0,0.0,1,0.043675628,-0.006018072325563021,0.037657555233860426,0.037657555233860426
-0.022933895,0.0030504176,-1.0,-1.0,1.0,1,-0.0030504176,-0.006018072325563021,-0.009068489964878149,0.028589065268982278
-0.067366555,0.020227961,-1.0,-1.0,-1.0,0,-0.020227961,-0.0,-0.020227961242198944,0.008361104026783334
-0.01206509,0.0012762549,-1.0,-1.0,-1.0,0,-0.0012762549,-0.0,-0.0012762548867613077,0.007084849140022026
0.0068556555,0.025213,1.0,1.0,-1.0,1,0.025213,-0.006018072325563021,0.019194927107716017,0.026279776247738043
0.033237375,-0.062494155,1.0,1.0,1.0,0,-0.062494155,-0.0,-0.06249415501952171,-0.03621437877178367
-0.000009546522,0.022276647,-1.0,-1.0,1.0,1,-0.022276647,-0.006018072325563021,-0.02829471971449811,-0.06450909848628178
-0.0009743334,0.004311452,-1.0,-1.0,-1.0,0,-0.004311452,-0.0,-0.004311452154070139,-0.06882055064035192
-0.06114116,-0.021740481,-1.0,-1.0,-1.0,0,0.021740481,-0.0,0.02174048125743866,-0.04708006938291326
-0.017240714,-0.0092755,-1.0,-1.0,-1.0,0,0.0092755,-0.0,0.009275499731302261,-0.037804569651611
0.017374504,0.008394235,1.0,1.0,-1.0,1,0.008394235,-0.006018072325563021,0.002376162488186769,-0.03542840716342423
0.0056408527,-0.019993594,1.0,1.0,1.0,0,-0.019993594,-0.0,-0.01999359391629696,-0.055422001079721187
0.006765152,-0.043578047,1.0,1.0,1.0,0,-0.043578047,-0.0,-0.043578047305345535,-0.09900004838506672
-0.0137723945,0.00093908096,-1.0,-1.0,1.0,1,-0.00093908096,-0.006018072325563021,-0.006957153282886334,-0.10595720166795305
-0.017455434,-0.08348441,-1.0,-1.0,-1.0,0,0.08348441,-0.0,0.08348441123962402,-0.02247279042832903
0.084136575,0.035515286,1.0,1.0,-1.0,1,0.035515286,-0.006018072325563021,0.029497213702822142,0.007024423274493111
0.0025330363,-0.047811303,1.0,1.0,1.0,0,-0.047811303,-0.0,-0.04781130328774452,-0.04078688001325141
-0.11233945,0.026952337,-1.0,-1.0,1.0,1,-0.026952337,-0.006018072325563021,-0.032970409799193925,-0.07375728981244534
0.037746176,0.0035087857,1.0,1.0,-1.0,1,0.0035087857,-0.006018072325563021,-0.0025092865860219674,-0.0762665763984673
-0.006006184,-0.033558898,-1.0,-1.0,1.0,1,0.033558898,-0.006018072325563021,0.02754082534852069,-0.048725751049946614
-0.035342813,0.015393792,-1.0,-1.0,-1.0,0,-0.015393792,-0.0,-0.01539379172027111,-0.06411954277021772
