y_hat,y,raw_signal,signal,prev_signal,is_trade,trade_log_return,tx_fee_log,trade_log_return_net,equity_curve_net
0.05446086,0.010711201,1.0,1.0,0.0,1,0.010711201,-0.006018072325563021,0.004693128209734373,0.004693128209734373
-0.0046438966,-0.02002757,-1.0,-1.0,1.0,1,0.02002757,-0.006018072325563021,0.01400949810090106,0.018702626310635434
0.021609882,0.0054200673,1.0,1.0,-1.0,1,0.0054200673,-0.006018072325563021,-0.0005980049779768662,0.01810462133265857
0.00791319,0.002998503,1.0,1.0,1.0,0,0.002998503,-0.0,0.0029985029250383377,0.021103124257696906
-0.0031686146,0.008941937,-1.0,-1.0,1.0,1,-0.008941937,-0.006018072325563021,-0.014960009563541002,0.0061431146941559045
-0.030778661,-0.04491046,-1.0,-1.0,-1.0,0,0.04491046,-0.0,0.04491046071052551,0.05105357540468142
-0.005174772,-0.013121088,-1.0,-1.0,-1.0,0,0.013121088,-0.0,0.013121088035404682,0.0641746634400861
-0.0064488705,0.03794995,-1.0,-1.0,-1.0,0,-0.03794995,-0.0,-0.037949949502944946,0.026224713937141153
-0.019305762,0.005735865,-1.0,-1.0,-1.0,0,-0.005735865,-0.0,-0.0057358648627996445,0.02048884907434151
-0.044020824,-0.019453501,-1.0,-1.0,-1.0,0,0.019453501,-0.0,0.01945350132882595,0.03994235040316746
0.018405672,0.016438726,1.0,1.0,-1.0,1,0.016438726,-0.006018072325563021,0.010420654010200911,0.05036300441336837
-0.03238657,-0.017974589,-1.0,-1.0,1.0,1,0.017974589,-0.006018072325563021,0.011956516694450789,0.06231952110781916
0.04936319,-0.026477173,1.0,1.0,-1.0,1,-0.026477173,-0.006018072325563021,-0.03249524529633481,0.02982427581148435
-0.038425855,-0.027197326,-1.0,-1.0,1.0,1,0.027197326,-0.006018072325563021,0.021179253276610785,0.051003529088095134
0.008301594,-0.0101060355,1.0,1.0,-1.0,1,-0.0101060355,-0.006018072325563021,-0.016124107833778448,0.034879421254316686
-0.016121475,-0.00987825,-1.0,-1.0,1.0,1,0.00987825,-0.006018072325563021,0.0038601775133852287,0.038739598767701916
0.008688409,-0.030916441,1.0,1.0,-1.0,1,-0.030916441,-0.006018072325563021,-0.03693451355752904,0.001805085210172877
-0.10312333,0.020605357,-1.0,-1.0,1.0,1,-0.020605357,-0.006018072325563021,-0.026623429689383096,-0.02481834447921022
-0.014308806,0.037727945,-1.0,-1.0,-1.0,0,-0.037727945,-0.0,-0.03772794455289841,-0.06254628903210863
-0.005336521,-0.011658163,-1.0,-1.0,-1.0,0,0.011658163,-0.0,0.01165816280990839,-0.050888126222200236
0.004115237,0.01455159,1.0,1.0,-1.0,1,0.01455159,-0.006018072325563021,0.00853351787122529,-0.042354608350974945
-0.053234898,-0.028326817,-1.0,-1.0,1.0,1,0.028326817,-0.006018072325563021,0.022308744531298094,-0.02004586381967685
-0.0049666017,-0.0066269296,-1.0,-1.0,-1.0,0,0.0066269296,-0.0,0.006626929622143507,-0.013418934197533344
0.02448771,-0.0013306722,1.0,1.0,-1.0,1,-0.0013306722,-0.006018072325563021,-0.007348744506774433,-0.020767678704307777
0.00623242,-0.0013324452,1.0,1.0,1.0,0,-0.0013324452,-0.0,-0.0013324451865628362,-0.022100123890870613
-0.012533413,0.063600585,-1.0,-1.0,1.0,1,-0.063600585,-0.006018072325563021,-0.06961865719017941,-0.09171878108105003
-0.03302808,-0.018627215,-1.0,-1.0,-1.0,0,0.018627215,-0.0,0.018627215176820755,-0.07309156590422927
0.00059776753,-0.0025526497,1.0,1.0,-1.0,1,-0.0025526497,-0.006018072325563021,-0.008570722030302472,-0.08166228793453174
-0.023049856,-0.007053572,-1.0,-1.0,1.0,1,0.007053572,-0.006018072325563021,0.001035499893302135,-0.08062678804122961
0.010021098,0.00064329366,1.0,1.0,-1.0,1,0.00064329366,-0.006018072325563021,-0.0053747786612379925,-0.0860015667024676
