y_hat,y,raw_signal,signal,prev_signal,is_trade,trade_log_return,tx_fee_log,trade_log_return_net,equity_curve_net
-0.015654283,0.028438197,-1.0,-1.0,0.0,1,-0.028438197,-0.006018072325563021,-0.0344562697744127,-0.0344562697744127
-0.0047103567,-0.025878066,-1.0,-1.0,-1.0,0,0.025878066,-0.0,0.025878066197037697,-0.008578203577375001
0.019263588,0.0076432936,1.0,1.0,-1.0,1,0.0076432936,-0.006018072325563021,0.0016252212637905402,-0.006952982313584461
-0.024051044,0.055835154,-1.0,-1.0,1.0,1,-0.055835154,-0.006018072325563021,-0.06185322623310048,-0.06880620854668494
-0.0011047558,-0.0057162894,-1.0,-1.0,-1.0,0,0.0057162894,-0.0,0.005716289393603802,-0.06308991915308114
0.12286808,-0.01704164,1.0,1.0,-1.0,1,-0.01704164,-0.006018072325563021,-0.023059712681746072,-0.08614963183482721
-0.03520079,0.006730017,-1.0,-1.0,1.0,1,-0.006730017,-0.006018072325563021,-0.01274808911216814,-0.09889772094699535
-0.069981925,0.011215277,-1.0,-1.0,-1.0,0,-0.011215277,-0.0,-0.011215277016162872,-0.11011299796315822
0.0100172255,-0.018867243,1.0,1.0,-1.0,1,-0.018867243,-0.006018072325563021,-0.024885315406894273,-0.1349983133700525
-0.015409473,0.0009219491,-1.0,-1.0,1.0,1,-0.0009219491,-0.006018072325563021,-0.0069400214295032995,-0.1419383347995558
-0.0057579004,-0.02612166,-1.0,-1.0,-1.0,0,0.02612166,-0.0,0.026121659204363823,-0.11581667559519199
0.006624223,-0.016199175,1.0,1.0,-1.0,1,-0.016199175,-0.006018072325563021,-0.022217247593974657,-0.13803392318916663
0.0048868596,-0.04051246,1.0,1.0,1.0,0,-0.04051246,-0.0,-0.040512461215257645,-0.17854638440442427
0.027136244,-0.004346171,1.0,1.0,1.0,0,-0.004346171,-0.0,-0.004346170928329229,-0.1828925553327535
-0.047303576,-0.056135688,-1.0,-1.0,1.0,1,0.056135688,-0.006018072325563021,0.050117615651512556,-0.13277493968124093
-0.0058499933,-0.016787963,-1.0,-1.0,-1.0,0,0.016787963,-0.0,0.01678796298801899,-0.11598697669322194
